grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,shot_made_numeric,shot_value
Shot Chart Detail,0021400020,144,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,11,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,22.6,-0.6,1,missed,2014-10-30,LAC,OKC,0,3
Shot Chart Detail,0021400020,177,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,8,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23.4,0.1,1,made,2014-10-30,LAC,OKC,1,3
Shot Chart Detail,0021400020,407,200770,Jordan Farmar,1610612746,Los Angeles Clippers,3,0,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,23.5,1.1,1,made,2014-10-30,LAC,OKC,1,3
Shot Chart Detail,0021400020,424,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,10,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,23.7,1.4,1,missed,2014-10-30,LAC,OKC,0,3
Shot Chart Detail,0021400026,174,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,7,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-12.2,23.9,1,missed,2014-10-31,LAL,LAC,0,3
Shot Chart Detail,0021400039,93,200770,Jordan Farmar,1610612746,Los Angeles Clippers,1,2,59,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,-23.9,8,1,missed,2014-11-02,LAC,SAC,0,3
Shot Chart Detail,0021400039,133,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,11,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,16.4,25,1,made,2014-11-02,LAC,SAC,1,3
Shot Chart Detail,0021400039,149,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,9,17,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2.3,2,1,missed,2014-11-02,LAC,SAC,0,2
Shot Chart Detail,0021400039,157,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,8,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1.8,26.1,1,made,2014-11-02,LAC,SAC,1,3
Shot Chart Detail,0021400039,169,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,7,19,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1.1,-0.3,1,made,2014-11-02,LAC,SAC,1,2
Shot Chart Detail,0021400039,177,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,6,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-0.7,1.1,1,missed,2014-11-02,LAC,SAC,0,2
Shot Chart Detail,0021400039,425,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,9,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-10.2,8.8,1,made,2014-11-02,LAC,SAC,1,2
Shot Chart Detail,0021400039,427,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,9,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-4.2,8.3,1,missed,2014-11-02,LAC,SAC,0,2
Shot Chart Detail,0021400039,437,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,8,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1.6,26.8,1,missed,2014-11-02,LAC,SAC,0,3
Shot Chart Detail,0021400048,118,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,8,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-18.7,2.3,1,made,2014-11-03,LAC,UTA,1,2
Shot Chart Detail,0021400048,361,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,10,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-7,19.8,1,missed,2014-11-03,LAC,UTA,0,2
Shot Chart Detail,0021400048,388,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,7,43,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,4.4,1,made,2014-11-03,LAC,UTA,1,2
Shot Chart Detail,0021400068,114,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,10,33,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,15.8,13.7,1,missed,2014-11-05,GSW,LAC,0,2
Shot Chart Detail,0021400068,118,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,10,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23,5.3,1,made,2014-11-05,GSW,LAC,1,3
Shot Chart Detail,0021400068,135,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,8,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-3.1,16.5,1,missed,2014-11-05,GSW,LAC,0,2
Shot Chart Detail,0021400068,357,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,10,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,9.3,15.4,1,missed,2014-11-05,GSW,LAC,0,2
Shot Chart Detail,0021400068,470,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,1,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-6.4,12.7,1,missed,2014-11-05,GSW,LAC,0,2
Shot Chart Detail,0021400068,473,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,1,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-3.4,26.9,1,missed,2014-11-05,GSW,LAC,0,3
Shot Chart Detail,0021400082,173,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,8,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-12.5,15.7,1,missed,2014-11-08,LAC,POR,0,2
Shot Chart Detail,0021400082,424,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,11,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-0.1,24.9,1,missed,2014-11-08,LAC,POR,0,3
Shot Chart Detail,0021400102,383,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,10,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-18.9,17.2,1,missed,2014-11-10,LAC,SAS,0,3
Shot Chart Detail,0021400141,119,200770,Jordan Farmar,1610612746,Los Angeles Clippers,1,1,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23.4,1.9,1,made,2014-11-15,LAC,PHX,1,3
Shot Chart Detail,0021400141,142,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-21.8,12.1,1,missed,2014-11-15,LAC,PHX,0,3
Shot Chart Detail,0021400141,414,200770,Jordan Farmar,1610612746,Los Angeles Clippers,3,1,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-15.9,19,1,missed,2014-11-15,LAC,PHX,0,3
Shot Chart Detail,0021400141,484,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,10,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1.5,2.2,1,missed,2014-11-15,LAC,PHX,0,2
Shot Chart Detail,0021400141,637,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,1,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-13.5,21.1,1,missed,2014-11-15,LAC,PHX,0,3
Shot Chart Detail,0021400154,176,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-13.2,15.1,1,missed,2014-11-17,LAC,CHI,0,2
Shot Chart Detail,0021400154,203,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-17.3,18.1,1,missed,2014-11-17,LAC,CHI,0,3
Shot Chart Detail,0021400154,532,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,0,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-11.9,12.1,1,missed,2014-11-17,LAC,CHI,0,2
Shot Chart Detail,0021400161,127,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,10,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,-16.5,10.1,1,missed,2014-11-19,ORL,LAC,0,2
Shot Chart Detail,0021400161,137,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,9,10,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1.3,1.2,1,made,2014-11-19,ORL,LAC,1,2
Shot Chart Detail,0021400161,153,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,7,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-12.2,23.1,1,made,2014-11-19,ORL,LAC,1,3
Shot Chart Detail,0021400161,391,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,11,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,25.2,1,made,2014-11-19,ORL,LAC,1,3
Shot Chart Detail,0021400161,432,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,7,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,8.7,18.7,1,made,2014-11-19,ORL,LAC,1,2
Shot Chart Detail,0021400161,449,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,5,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,16.3,17.9,1,made,2014-11-19,ORL,LAC,1,3
Shot Chart Detail,0021400161,475,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,1,55,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,3,12.7,1,missed,2014-11-19,ORL,LAC,0,2
Shot Chart Detail,0021400170,154,200770,Jordan Farmar,1610612746,Los Angeles Clippers,2,6,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,19.8,14.9,1,made,2014-11-20,MIA,LAC,1,3
Shot Chart Detail,0021400170,373,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,8,57,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,23.9,-0.2,1,missed,2014-11-20,MIA,LAC,0,3
Shot Chart Detail,0021400193,453,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,17.7,19.4,1,missed,2014-11-23,MEM,LAC,0,3
Shot Chart Detail,0021400193,482,200770,Jordan Farmar,1610612746,Los Angeles Clippers,4,5,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,10,22.7,1,missed,2014-11-23,MEM,LAC,0,3
